cohort,n_samples,SPLICE_NEOANTIGEN,ERV_NEOANTIGEN,FUSION_NEOANTIGEN,INDEL_NEOANTIGEN,SNV_NEOANTIGEN,RESPONSE,TMB_NONSYNONYMOUS,OS_MONTHS,PFS_MONTHS,PURITY,PLOIDY,MUTS_CLONAL,TIDE_RESPONDER
dfci2019,144,—,—,—,—,—,—,100%,100%,100%,100%,100%,100%,—
gide2019,91,99%,99%,99%,—,—,100%,—,100%,100%,—,—,—,100%
hugo2016,27,100%,100%,100%,100%,100%,100%,100%,96%,—,—,—,—,100%
liu2019,122,100%,100%,100%,100%,100%,100%,100%,100%,100%,—,—,—,100%
riaz2017,107,68%,68%,68%,68%,68%,92%,68%,94%,—,—,—,—,100%
