Gene,Pval,FDR,Stats,diffAvg,avg.R,avg.NR
PLXDC1,0.07201705,1.0,58.0,-1.1193983,0.6566977,1.776096
VSTM4,0.07201705,1.0,58.0,-1.08231529,-0.08148629,1.000829
ARNTL2,0.07201705,1.0,58.0,-1.06412524,-0.9644254,0.09969984
FPR2,0.07201705,1.0,58.0,-1.0609539,-1.175556,-0.1146021
ICAM2,0.07201705,1.0,58.0,-1.00608,2.902156,3.908236
SNAI1,0.07201705,1.0,58.0,-1.002535,1.109835,2.11237
TMEM117,0.07201705,1.0,137.0,1.069717,3.259832,2.190115
KIAA1161,0.07201705,1.0,137.0,1.06991159,1.128208,0.05829641
VAMP8,0.07201705,1.0,137.0,1.076123,6.929164,5.853041
RASGRP1,0.07201705,1.0,137.0,1.1293496,0.2614105,-0.8679391
GYG2,0.07201705,1.0,137.0,1.22961,4.6579,3.42829
ITGA3,0.07201705,1.0,137.0,1.670273,5.742233,4.07196
C1orf226,0.07201705,1.0,137.0,1.9189112,0.7410182,-1.177893
LOC400644,0.07201705,1.0,137.0,3.2918132,3.723864,0.4320508
HERC2P4,0.07236828,1.0,137.0,1.7111815,-0.6455185,-2.3567
BDKRB1,0.07610311,1.0,58.5,-1.6975456,-2.104341,-0.4067954
GNG8,0.07616672,1.0,64.0,-1.74085,-3.321928,-1.581078
SNORA24,0.07813697,1.0,62.5,-7.93121,-3.321928,4.609282
DGUOK-AS1,0.07920913,1.0,59.0,-1.1154189,-1.289062,-0.1736431
PAGE5,0.07920913,1.0,136.0,1.999152,-0.665466,-2.664618
HEY1,0.07991109,1.0,59.0,-2.192591,3.080934,5.273525
LPAR3,0.07991109,1.0,59.0,-2.0615078,-2.364104,-0.3025962
CYTL1,0.07991109,1.0,59.0,-1.9661553,-0.1434923,1.822663
ITGA11,0.07991109,1.0,59.0,-1.9284091,-0.2168501,1.711559
SERP2,0.07991109,1.0,59.0,-1.9074767,-0.6319927,1.275484
SERTAD4-AS1,0.07991109,1.0,59.0,-1.7799747,-0.9284515,0.8515232
HOXA10,0.07991109,1.0,59.0,-1.757677,0.660664,2.418341
HOXB2,0.07991109,1.0,59.0,-1.749016,2.248014,3.99703
DKK2,0.07991109,1.0,59.0,-1.7266729,-1.367326,0.3593469
CACNA2D1,0.07991109,1.0,59.0,-1.7131162,-1.17894,0.5341762
PIEZO2,0.07991109,1.0,59.0,-1.5553771,-0.5367291,1.018648
TRABD2A,0.07991109,1.0,59.0,-1.5297367,-1.225138,0.3045987
ME3,0.07991109,1.0,59.0,-1.5257831,-0.6258341,0.899949
SLC35G2,0.07991109,1.0,59.0,-1.51780198,0.04668802,1.56449
PFKFB4,0.07991109,1.0,59.0,-1.464076,1.526287,2.990363
NTM,0.07991109,1.0,59.0,-1.3766436,0.0461844,1.422828
PCOLCE-AS1,0.07991109,1.0,59.0,-1.348895,-2.688414,-1.339519
RAB42,0.07991109,1.0,59.0,-1.2648636,0.7846924,2.049556
LIMD1,0.07991109,1.0,59.0,-1.19859,1.752412,2.951002
TMSB15A,0.07991109,1.0,59.0,-1.173387,1.096397,2.269784
PERM1,0.07991109,1.0,59.0,-1.1663028,-1.818839,-0.6525362
PDGFRA,0.07991109,1.0,59.0,-1.139858,1.358616,2.498474
GTSE1,0.07991109,1.0,59.0,-1.117235,2.36028,3.477515
PODXL,0.07991109,1.0,59.0,-1.047478,2.237362,3.28484
DCN,0.07991109,1.0,59.0,-1.043292,5.966609,7.009901
NR3C2,0.07991109,1.0,136.0,1.1052036,-0.5197514,-1.624955
GLUD2,0.07991109,1.0,136.0,1.1184848,0.8441928,-0.274292
MFSD6,0.07991109,1.0,136.0,1.153648,3.563463,2.409815
ZNF626,0.07991109,1.0,136.0,1.2185378,1.999356,0.7808182
LRRC75A-AS1,0.07991109,1.0,136.0,1.233348,9.632714,8.399366
LINC01212,0.07991109,1.0,136.0,1.4177327,-0.1266553,-1.544388
VTN,0.07991109,1.0,136.0,1.6521657,0.4243417,-1.227824
RAET1E-AS1,0.0799937,1.0,136.0,1.1147811,0.1376275,-0.9771536
PTENP1-AS,0.0805186,1.0,61.0,-1.469631,-3.321928,-1.852297
CST2,0.08260212,1.0,59.5,-1.4534018,-2.423159,-0.9697572
GOLT1A,0.08307547,1.0,135.0,1.709569,-1.061409,-2.770978
SYTL5,0.08366261,1.0,59.5,-1.6295506,-2.31139,-0.6818394
UNC5B-AS1,0.0841086,1.0,61.0,-1.612624,-3.321928,-1.709304
LOC101928837,0.08743215,1.0,60.0,-1.5031697,-1.385865,0.1173047
FAM131C,0.08743215,1.0,60.0,-1.251103,-2.846797,-1.595694
TMEM200C,0.08812891,1.0,60.0,-1.367226,-1.81183,-0.444604
RORB,0.08812891,1.0,60.0,-1.17606,-2.835436,-1.659376
LINC01239,0.08812891,1.0,60.0,-1.071185,-2.944194,-1.873009
WDR72,0.08812891,1.0,135.0,1.1301,-1.454678,-2.584778
ANGPTL7,0.08812891,1.0,135.0,1.9281366,-0.4333904,-2.361527
FAM101A,0.08846856,1.0,60.0,-2.9752643,-2.418982,0.5562823
HOXB9,0.08846856,1.0,60.0,-2.4640244,-0.9920094,1.472015
NRXN2,0.08846856,1.0,60.0,-1.9499113,-0.2955583,1.654353
ANPEP,0.08846856,1.0,60.0,-1.864682,1.243456,3.108138
ITPKA,0.08846856,1.0,60.0,-1.7115608,-1.256669,0.4548918
ASS1,0.08846856,1.0,60.0,-1.519369,1.411339,2.930708
GPR162,0.08846856,1.0,60.0,-1.5100042,-0.5135142,0.99649
KCNG1,0.08846856,1.0,60.0,-1.4744683,-0.3837063,1.090762
CPVL,0.08846856,1.0,60.0,-1.442219,4.5933,6.035519
PDLIM1,0.08846856,1.0,60.0,-1.385467,3.860983,5.24645
PNPLA3,0.08846856,1.0,60.0,-1.2542662,-0.8344199,0.4198463
RGS11,0.08846856,1.0,60.0,-1.2389998,-1.910076,-0.6710762
RGS4,0.08846856,1.0,60.0,-1.2094431,-0.747485,0.4619581
CALHM2,0.08846856,1.0,60.0,-1.200965,2.570213,3.771178
FAM64A,0.08846856,1.0,60.0,-1.150179,2.153844,3.304023
INMT,0.08846856,1.0,60.0,-1.093546,0.312201,1.405747
CDH11,0.08846856,1.0,60.0,-1.071131,2.623036,3.694167
LIMD1-AS1,0.08846856,1.0,60.0,-1.062219,2.242223,3.304442
PSMB8,0.08846856,1.0,135.0,1.000832,3.40133,2.400498
UGCG,0.08846856,1.0,135.0,1.056632,5.006554,3.949922
MYEF2,0.08846856,1.0,135.0,1.302493,4.236313,2.93382
ANKRD20A12P,0.08846856,1.0,135.0,1.3615798,2.121068,0.7594882
SNHG5,0.08846856,1.0,135.0,1.383093,9.051138,7.668045
IRX6,0.08846856,1.0,135.0,1.5010209,1.891507,0.3904861
SNHG8,0.08846856,1.0,135.0,1.744982,8.447397,6.702415
HLA-A,0.08846856,1.0,135.0,1.981057,7.422628,5.441571
ABCC2,0.08846856,1.0,135.0,2.4926895,2.115796,-0.3768935
PPP1R14C,0.08846856,1.0,135.0,2.5369517,0.8727027,-1.664249
DKFZP434L187,0.08929316,1.0,62.0,-1.124272,-3.321928,-2.197656
LOC284344,0.08967541,1.0,134.0,1.919843,-1.144627,-3.06447
KLK4,0.09174328,1.0,61.0,-1.311161,-2.764102,-1.452941
SCARNA6,0.09308432,1.0,62.0,-3.6413841,-3.321928,0.3194561
LOC283352,0.09564329,1.0,134.0,4.732925,3.141143,-1.591782
RCVRN,0.09706325,1.0,61.0,-1.021085,-2.795706,-1.774621
PLCB4,0.09772118,1.0,61.0,-2.621658,-1.558763,1.062895
RSPH9,0.09772118,1.0,61.0,-1.90907156,-1.973983,-0.06491144
PCOLCE,0.09772118,1.0,61.0,-1.890763,5.163543,7.054306
TBXA2R,0.09772118,1.0,61.0,-1.7380936,0.2973364,2.03543
IGDCC4,0.09772118,1.0,61.0,-1.7100766,-0.6695276,1.040549
NOVA1,0.09772118,1.0,61.0,-1.68105793,-1.761216,-0.08015807
TUBA8,0.09772118,1.0,61.0,-1.6658002,-0.4218052,1.243995
PCSK6,0.09772118,1.0,61.0,-1.5703462,-0.2249672,1.345379
MRGPRF,0.09772118,1.0,61.0,-1.504914,-0.516582,0.988332
TMEM163,0.09772118,1.0,61.0,-1.4877311,-0.3104351,1.177296
CTBP1-AS,0.09772118,1.0,61.0,-1.470821,-0.648919,0.821902
CXCL5,0.09772118,1.0,61.0,-1.4650856,-2.303461,-0.8383754
ACOX2,0.09772118,1.0,61.0,-1.4429556,-1.222019,0.2209366
MAP6D1,0.09772118,1.0,61.0,-1.4158326,0.1082314,1.524064
MSI1,0.09772118,1.0,61.0,-1.321138,-2.642031,-1.320893
LTBP1,0.09772118,1.0,61.0,-1.291908,1.98646,3.278368
MMP9,0.09772118,1.0,61.0,-1.265313,3.960799,5.226112
RADIL,0.09772118,1.0,61.0,-1.2361487,-2.150289,-0.9141403
TRPM3,0.09772118,1.0,61.0,-1.22613,-2.86917,-1.64304
RIMS2,0.09772118,1.0,61.0,-1.18251,-2.349026,-1.166516
UCHL1,0.09772118,1.0,61.0,-1.1725838,0.5262792,1.698863
GPR4,0.09772118,1.0,61.0,-1.140973,1.10748,2.248453
SPATA18,0.09772118,1.0,61.0,-1.0879963,-1.864423,-0.7764267
SNTA1,0.09772118,1.0,61.0,-1.06875,2.871713,3.940463
HOXB-AS1,0.09772118,1.0,61.0,-1.05469193,-1.09566,-0.04096807
FAM133DP,0.09772118,1.0,61.0,-1.0510606,-0.3765105,0.6745501
TNFRSF25,0.09772118,1.0,61.0,-1.0223879,0.4107481,1.433136
FILIP1,0.09772118,1.0,61.0,-1.0069617,-1.554049,-0.5470873
MN1,0.09772118,1.0,61.0,-1.002883,-1.223709,-0.220826
KBTBD4,0.09772118,1.0,134.0,1.001948,3.524064,2.522116
SPTBN2,0.09772118,1.0,134.0,1.448088,2.418522,0.970434
CLECL1,0.09772118,1.0,134.0,1.8788903,0.5635243,-1.315366
KRT19,0.09803674,1.0,61.5,-1.316096,-3.001736,-1.68564
BAGE,0.09882205,1.0,132.0,1.721211,-1.600717,-3.321928
HIST1H4B,0.09894899,1.0,62.0,-1.57329,-3.321928,-1.748638
