Geneset,Pval,FDR,Stats,diffAvg,avg.NR,avg.R
ZWANG_CLASS_2_TRANSIENTLY_INDUCED_BY_EGF,0.02892436,0.87081336,2.312538,0.1078084,0.2338587,0.1260503
HARRIS_HYPOXIA,0.02942447,0.87081336,2.304693,0.1085055,0.3340136,0.2255081
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP,0.03214257,0.87081336,2.264067,0.1001621,0.378983,0.2788209
WEINMANN_ADAPTATION_TO_HYPOXIA_DN,0.03227399,0.87081336,2.262183,0.16601498,0.2444314,0.07841642
PLX2D_CELL_ADHESION_UP,0.03617941,0.87081336,2.209139,0.10168117,0.1839791,0.08229793
NAKAMURA_CANCER_MICROENVIRONMENT_UP,0.03759705,0.87081336,2.191158,0.1243669,-0.1908011,-0.315168
WILLIAMS_ESR1_TARGETS_UP,0.03766434,0.87081336,2.19032,0.1070796,0.389565,0.2824854
EP_RESP_TO_WOUNDING_DN_IN_R,0.04147386,0.87095106,2.144931,0.18324842,0.04477552,-0.1384729
DAVICIONI_TARGETS_OF_PAX_FOXO1_FUSIONS_DN,0.04391986,0.8783972,2.11772,0.10501172,0.1474971,0.04248538
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP,0.04501908,0.8783972,-2.105931,-0.102919,0.5498142,0.6527332
KIM_GLIS2_TARGETS_UP,0.0546924,0.9844632,2.01197,0.1322153,0.2598911,0.1276758
PH_BLOOD_VESS_DEVEL_DN_IN_R,0.05502852,0.9844632,2.008978,0.16063547,-0.04397603,-0.2046115
VALK_AML_CLUSTER_13,0.05648656,0.9844632,1.996184,0.11325694,0.193455,0.08019806
HARRIS_BRAIN_CANCER_PROGENITORS,0.06072352,0.9844632,1.960588,0.1236691,-0.1469096,-0.2705787
PH_RESP_TO_WOUNDING_DN_IN_R,0.07399112,1.0,1.861669,0.1079071,-0.2363218,-0.3442289
WANG_BARRETTS_ESOPHAGUS_UP,0.08072763,1.0,1.81722,0.1085087,0.2314685,0.1229598
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN,0.08885657,1.0,1.767643,0.1186764,0.3612462,0.2425698
DTPP_RESP_TO_WOUNDING_UP,0.09435173,1.0,1.73628,0.15929472,0.2507667,0.09147198
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP,0.09491353,1.0,1.733161,0.1158654,0.4607875,0.3449221
