run_accession,cohort,fastq_ftp,total_gb
ERR2208900,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/000/ERR2208900/ERR2208900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/000/ERR2208900/ERR2208900_2.fastq.gz,25.812
ERR2208903,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/003/ERR2208903/ERR2208903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/003/ERR2208903/ERR2208903_2.fastq.gz,19.619
ERR2208914,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208914/ERR2208914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208914/ERR2208914_2.fastq.gz,6.969
ERR2208920,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/000/ERR2208920/ERR2208920_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/000/ERR2208920/ERR2208920_2.fastq.gz,18.955
ERR2208924,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208924/ERR2208924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208924/ERR2208924_2.fastq.gz,13.747
ERR2208934,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208934/ERR2208934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/004/ERR2208934/ERR2208934_2.fastq.gz,7.145
ERR2208935,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/005/ERR2208935/ERR2208935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/005/ERR2208935/ERR2208935_2.fastq.gz,6.503
ERR2208941,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208941/ERR2208941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208941/ERR2208941_2.fastq.gz,6.756
ERR2208948,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/008/ERR2208948/ERR2208948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/008/ERR2208948/ERR2208948_2.fastq.gz,6.389
ERR2208951,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208951/ERR2208951_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208951/ERR2208951_2.fastq.gz,6.643
ERR2208956,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/006/ERR2208956/ERR2208956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/006/ERR2208956/ERR2208956_2.fastq.gz,6.631
ERR2208966,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/006/ERR2208966/ERR2208966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/006/ERR2208966/ERR2208966_2.fastq.gz,6.189
ERR2208967,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/007/ERR2208967/ERR2208967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/007/ERR2208967/ERR2208967_2.fastq.gz,6.96
ERR2208971,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208971/ERR2208971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/001/ERR2208971/ERR2208971_2.fastq.gz,5.998
ERR2208973,gide2019,ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/003/ERR2208973/ERR2208973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR220/003/ERR2208973/ERR2208973_2.fastq.gz,6.361
