clone,patient,class_k2
AML1012_c0,AML1012,2
AML1012_c1,AML1012,1
AML210A_c0,AML210A,2
AML210A_c1,AML210A,1
AML328_c0,AML328,2
AML328_c1,AML328,1
AML329_c0,AML329,2
AML419A_c0,AML419A,1
AML419A_c1,AML419A,2
AML420B_c0,AML420B,2
AML475_c0,AML475,1
AML556_c0,AML556,2
AML556_c1,AML556,1
AML707B_c0,AML707B,2
AML870_c0,AML870,2
AML916_c0,AML916,2
AML916_c1,AML916,2
AML921A_c0,AML921A,2
AML921A_c1,AML921A,1
