gene,malig_mean,ref_mean,spec
A1BG,0.02787273535614169,0.09614592024581226,-0.06827318488967056
A1BG-AS1,0.003525508857393435,0.014684835501475344,-0.01115932664408191
A2M,0.35908181458345195,1.0187194412775733,-0.6596376266941213
A2M-AS1,0.01789185717677427,0.03883536705065397,-0.0209435098738797
A2ML1,0.000628653813897128,0.00014187145098461888,0.00048678236291250913
A4GALT,0.16678691111621968,0.02797364272755315,0.13881326838866653
AAAS,0.09341210916809768,0.04411444483500622,0.04929766433309146
AACS,0.09950514789127184,0.020222124615232484,0.07928302327603935
AADAC,0.03251452854948953,0.002422579771332181,0.03009194877815735
AADACL2,0.0095250140158973,0.0006319324879344252,0.008893081527962874
AADACL2-AS1,0.00023337961580606215,1.5595899112737126e-05,0.00021778371669332503
AADACL4,0.0011691291937848867,0.0001234436667299613,0.0010456855270549253
AADAT,0.023075887850103748,0.000882652539463303,0.022193235310640446
AAED1,0.14711661168323834,0.18732003063904543,-0.04020341895580709
AAGAB,0.05356333496091156,0.04764011069477094,0.005923224266140621
AAK1,0.30466534999674716,0.5898603817927344,-0.2851950317959872
AAMDC,0.26290171963276016,0.10553912856700441,0.15736259106575573
AAMP,0.2593409763435391,0.1625311783231283,0.09680979802041079
AANAT,0.0006832458546184751,0.00020783446162474643,0.0004754113929937287
AAR2,0.06185793432205133,0.040680146341627595,0.02117778798042374
AARD,0.006161368990310549,0.0005950601902374004,0.005566308800073149
AARS,0.14222628815369037,0.07680241540609133,0.06542387274759905
AARS2,0.027453205539414386,0.015034637454815728,0.012418568084598658
AARSD1,0.07423623773732721,0.029430362491842433,0.04480587524548478
AASDH,0.08925704425425089,0.04621055633011045,0.04304648792414044
AASDHPPT,0.15484645095274896,0.11820713757512116,0.0366393133776278
AASS,0.1036750910417089,0.018481171762952053,0.08519391927875684
AATBC,0.0020202537357412024,0.0045806438081347324,-0.00256039007239353
AATF,0.1384256853990578,0.15323548121619038,-0.01480979581713257
AATK,0.00331826099485397,0.016468973525281472,-0.013150712530427502
ABALON,0.0008566030949950252,0.0008851175407001973,-2.851444570517209e-05
ABAT,0.028131370619002723,0.030053680964209347,-0.0019223103452066237
ABCA1,0.24659102627275833,0.5154013369939124,-0.26881031072115413
ABCA10,0.21948147473899127,0.003553104777708444,0.2159283699612828
ABCA12,0.0006301072736159014,0.0,0.0006301072736159014
ABCA13,0.002179067697773048,0.000491348881020185,0.0016877188167528628
ABCA2,0.04638378327950195,0.02495366613897628,0.021430117140525666
ABCA3,0.01297735934879187,0.013351997210369702,-0.00037463786157783223
ABCA4,0.0010992935978189002,0.0008322885829592072,0.00026700501485969297
ABCA5,0.09864310517419977,0.03098099143421613,0.06766211373998364
ABCA6,0.3423026246628455,0.1837537246826535,0.158548899980192
ABCA7,0.009951118926730694,0.03493041700158739,-0.024979298074856694
ABCA8,0.5446142243882388,0.016932948682412373,0.5276812757058265
ABCA9,0.24358780306117367,0.03782738613407573,0.20576041692709796
ABCA9-AS1,0.0007475011763717779,0.0008249804493459642,-7.747927297418631e-05
ABCB1,0.014038949990395453,0.02694500288273979,-0.012906052892344337
ABCB10,0.0331410890774076,0.050381162685128704,-0.017240073607721104
ABCB11,0.006187300614286965,0.00033014940026708213,0.005857151214019883
ABCB4,0.008140839681496221,0.005005475371260235,0.003135364310235986
ABCB5,0.014574474080594122,0.0008847367890078097,0.013689737291586313
ABCB6,0.00703394681399345,0.0009342534139438024,0.006099693400049648
ABCB7,0.09302823035208671,0.08211647950484728,0.01091175084723943
ABCB8,0.09103256455561454,0.050491186524936685,0.04054137803067785
ABCB9,0.012758142975573702,0.007048747811572904,0.005709395164000798
ABCC1,0.04330520350518757,0.10377822694408591,-0.060473023438898335
ABCC10,0.035901381277931306,0.03070965158357321,0.005191729694358094
ABCC11,0.0009187314471710004,0.0006988320467835876,0.00021989940038741286
ABCC12,0.00026520215875332844,7.563046481697123e-05,0.0001895716939363572
ABCC2,0.01932263524530697,0.0015746004693825229,0.01774803477592445
ABCC3,0.007810428524984571,0.025286840925973816,-0.017476412400989245
ABCC4,0.023318218203116168,0.019577275762872656,0.0037409424402435124
ABCC5,0.08701351467182065,0.11784638903299204,-0.03083287436117138
ABCC6,0.03894847768907527,0.0031492199404804908,0.03579925774859478
ABCC8,0.03872512434689179,0.00196285139105309,0.036762272955838705
ABCC9,0.24619865285093248,0.02226007622384904,0.22393857662708344
ABCD1,0.025947014207076444,0.052332360815856786,-0.026385346608780343
ABCD2,0.025559158718709573,0.00955806945577361,0.01600108926293596
ABCD3,0.07771547277410468,0.06312153183936631,0.01459394093473837
ABCD4,0.18912745794633123,0.152904970300194,0.036222487646137225
ABCE1,0.23610082331362428,0.19309248236738463,0.04300834094623965
ABCF1,0.24464743308517384,0.24811414968127726,-0.003466716596103425
ABCF2,0.008410686397695684,0.012111808203579847,-0.003701121805884163
ABCF3,0.08588661796087935,0.056015626243074296,0.02987099171780505
ABCG1,0.04150083430583797,0.2277556904759757,-0.1862548561701377
ABCG2,0.025477374565554742,0.021593920196990662,0.00388345436856408
ABCG4,0.0002158005245414508,3.172985048117861e-05,0.00018407067406027216
ABCG5,0.00016981211574673753,8.849811874093559e-05,8.131399700580194e-05
ABCG8,0.0020459711322014956,0.0006050676549061076,0.001440903477295388
ABHD1,0.006255693505307326,0.00684747681022097,-0.000591783304913644
ABHD10,0.05175447518024859,0.045673237633996,0.006081237546252588
ABHD11,0.05960932259006037,0.05635774933658395,0.003251573253476421
ABHD12,0.1167591183345928,0.19358535549636166,-0.07682623716176885
ABHD12B,0.0008358225041499212,0.000347136277900129,0.0004886862262497922
ABHD13,0.07226477329086207,0.09567584920139677,-0.023411075910534693
ABHD14A,0.26220366216744706,0.09162059807204148,0.17058306409540558
ABHD14A-ACY1,0.015685001792931492,0.0023452345761620077,0.013339767216769483
ABHD14B,0.24949336559875565,0.16508983292338505,0.0844035326753706
ABHD15,0.05141102051193217,0.05044917494724751,0.000961845564684663
ABHD15-AS1,0.00045600060673906646,0.0003880530767398371,6.794752999922935e-05
ABHD16A,0.010491523758075928,0.02198622477295025,-0.011494701014874324
ABHD17A,0.43000931301848583,0.4330957496580392,-0.0030864366395533804
ABHD17B,0.037347774085758616,0.07132083044012823,-0.03397305635436961
ABHD17C,0.009838886342444996,0.01440093896068934,-0.004562052618244345
ABHD18,0.04464212363080618,0.0564590205642868,-0.011816896933480626
ABHD2,0.16720610250122547,0.2698904872282224,-0.10268438472699692
ABHD3,0.07744232998589184,0.1291590725723916,-0.05171674258649975
ABHD4,0.036900311220441295,0.027369362952482042,0.009530948267959253
ABHD5,0.3593783003864183,0.353184613470707,0.006193686915711316
ABHD6,0.018770790139273467,0.04981165753939745,-0.031040867400123986
ABHD8,0.07724663666729427,0.04149851714812207,0.0357481195191722
ABI1,0.17349566075408604,0.2998864453502795,-0.12639078459619343
ABI2,0.24413693913373807,0.1084685803097391,0.13566835882399897
ABI3,0.024576070042019612,0.12768987030614812,-0.1031138002641285
ABI3BP,0.3579594353128948,0.015147392160458283,0.3428120431524365
ABL1,0.23119928342531854,0.08679933803824143,0.14439994538707712
ABL2,0.23551448988667276,0.35766120032580156,-0.12214671043912881
ABLIM1,0.3205038527536206,0.14263421871142826,0.17786963404219233
ABLIM2,0.003055018008251732,0.004808593621398029,-0.0017535756131462975
ABLIM3,0.04385426133082496,0.12946234502951387,-0.08560808369868891
ABO,0.004198956879801342,0.0049874695126059885,-0.0007885126328046463
ABR,0.0985962265618118,0.1406989898852381,-0.0421027633234263
ABRA,0.000222301832190505,0.00010732164653881042,0.00011498018565169459
ABRACL,0.1559109539342363,0.41323010392664156,-0.25731914999240524
ABT1,0.09844457368295763,0.1192394529464304,-0.020794879263472774
ABTB1,0.06704968758781434,0.14981513761126486,-0.08276545002345052
ABTB2,0.019379486057723074,0.0027119713541312344,0.01666751470359184
AC000403.4,0.00017962602185989563,5.555493853562706e-05,0.00012407108332426856
AC002066.1,0.00030457301243579896,0.00013248419443471297,0.00017208881800108598
AC002117.1,0.0010365041648168335,0.002060917760896317,-0.0010244135960794836
AC002306.1,0.0006640147388444095,0.004731931115032261,-0.004067916376187851
AC002310.12,5.7827797184058566e-05,0.00049022361865936,-0.00043239582147530143
AC002331.1,0.0,0.0016721270366194063,-0.0016721270366194063
AC002398.11,0.0010555843245416425,1.3549740028636416e-05,0.0010420345845130062
AC002398.12,0.0001041946603499551,0.0,0.0001041946603499551
AC002429.5,0.0001773389245344023,0.0,0.0001773389245344023
AC002451.3,0.00013413444930578103,0.00033649213091325905,-0.00020235768160747802
AC002454.1,0.0017647525326537914,0.0006426394901591608,0.0011221130424946305
AC002456.2,0.00014816805879903168,0.00013990075055768354,8.267308241348143e-06
AC002467.7,0.0006115363470805158,0.0015267337801050356,-0.0009151974330245199
AC002480.2,0.0004538286829191981,0.000534609922763188,-8.078123984398992e-05
AC002480.3,0.00019776109639588777,0.0003307927281428189,-0.00013303163174693112
AC002480.4,0.00025163794216998095,0.0002937691406126005,-4.2131198442619535e-05
AC002511.2,0.00024746704644620286,0.00010353595206272993,0.00014393109438347294
AC003005.2,0.0003224341332307922,6.279384057557804e-05,0.0002596402926552142
AC003075.4,0.0007398104598768183,0.0033242369917509374,-0.0025844265318741193
AC003092.1,0.0008583912402484308,0.00022614346685727343,0.0006322477733911574
AC003092.2,0.00021066803659715424,4.569317835725059e-05,0.00016497485823990365
AC003101.1,0.00020270131891851379,0.00018530869333638832,1.739262558212546e-05
AC003956.1,0.0005481815691392505,0.0001141076990325737,0.0004340738701066768
AC003984.1,0.0002029547948554674,0.0,0.0002029547948554674
AC003991.3,2.7475240406311093e-05,0.0001976617653197276,-0.0001701865249134165
AC004012.1,0.0002602440327164458,4.317528757543166e-05,0.00021706874514101413
AC004069.2,5.393258180758238e-05,0.001428754812296664,-0.0013748222304890815
AC004076.5,4.555499261888176e-05,0.00016521945543279554,-0.00011966446281391378
AC004156.3,6.623038543683017e-05,5.666121870164628e-05,9.569166735183883e-06
AC004158.1,0.0003116152510642195,0.00013307715336804905,0.00017853809769617044
AC004257.1,0.0010419612505245604,0.00016673988385126453,0.0008752213666732959
AC004381.6,0.0006943584954180024,0.0002089521028027225,0.0004854063926152799
AC004448.2,0.0003056325678231257,6.788856877578157e-05,0.00023774399904734415
AC004490.1,0.000633037948454397,0.0008154233054873211,-0.00018238535703292414
AC004540.4,0.0003440502351982086,2.709992903197216e-05,0.00031695030616623644
AC004540.5,0.000547226160617785,0.0004046358645364111,0.00014259029608137388
AC004556.1,0.004847619925499556,0.01690081452370757,-0.012053194598208014
AC004593.3,0.00014341874236499657,0.0002794103026276205,-0.00013599156026262394
AC004637.1,0.0003291259146836319,1.576722362852816e-05,0.00031335869105510373
AC004791.2,0.0,0.0,0.0
AC004854.4,2.1061628315629645e-05,0.00019522316574721756,-0.0001741615374315879
AC004893.11,0.00028527002509129716,0.0007304779837307902,-0.000445207958639493
AC004951.6,0.002350400247832683,0.004981078252024287,-0.0026306780041916037
AC004988.1,0.0013210897074454133,0.0010299781123212564,0.0002911115951241569
AC005009.1,0.0009004283835512497,0.00010262724516521306,0.0007978011383860366
AC005009.2,0.002220189018697737,0.00020376206589546765,0.0020164269528022694
AC005076.5,0.00043319683181941663,0.0005934337013065352,-0.00016023686948711855
AC005082.12,5.0294391831579515e-05,5.323052982169889e-05,-2.936137990119372e-06
AC005224.2,0.00020648188257063407,0.0020467511255640065,-0.0018402692429933724
AC005253.2,0.0002459903683052623,0.0008325269624970306,-0.0005865365941917684
AC005264.2,2.3716432837914715e-05,0.0002999476075208212,-0.0002762311746829065
AC005304.1,0.00013234206479064087,8.872323075104988e-05,4.361883403959099e-05
AC005477.1,0.00011739609795215413,8.939641951109162e-05,2.7999678441062513e-05
AC005480.1,0.006572474176481538,0.002732232616040186,0.0038402415604413516
AC005498.3,0.0046522455739869606,0.0017446884153152194,0.0029075571586717414
AC005523.2,0.010506336115137281,0.013538025641056788,-0.0030316895259195065
AC005592.2,0.00023360287233333533,1.4477659301828607e-05,0.00021912521303150671
AC005616.1,0.0010860437097019349,0.0033760870333624433,-0.0022900433236605084
AC005616.2,8.174619821119095e-05,0.00031049253963941973,-0.00022874634142822878
AC005754.8,0.00018058971978022806,0.0,0.00018058971978022806
AC005779.2,0.00022776345688868896,6.968959580764986e-05,0.0001580738610810391
AC005932.1,9.361919421124063e-06,0.0003221716339035536,-0.00031280971448242954
