patient,sc_MDM2,sc_adipo,sc_EMT,bk_MDM2,bk_adipo,bk_EMT
P1,0.6519414292499492,0.3865857274943178,1.0046121005050188,0.5335085500410186,0.5397957842206256,0.29147551256660376
P10,0.5460151459314324,-0.1172965442761656,0.3003376679076612,0.29618698716771374,0.011532039955438167,0.0282385254474023
P11,-0.019441296554005248,0.07081260945120897,0.49625321541806344,-1.437228552257768,1.0790065634467318,-0.3260317726660443
P12,0.04382109901903656,-0.009728791276697067,0.470089762864649,0.8366287648569503,-0.1380876357126301,0.3528662950729201
P15,0.0299722981193589,-0.18338100397555185,1.042047298059047,0.3826280198726857,-0.7963460610122965,0.23427688802733065
P18,0.8621417333958938,0.09904742543373425,0.7913508144694901,1.0615289074397634,-1.509078022807273,-0.4758973210989843
P2,0.59171781566852,-0.18406263230838496,0.6975927343360935,0.5966622616857082,-0.5129784492396849,0.7293155034310197
P22,0.2086388347774158,0.4158403966341554,0.484449757888175,-2.0348826967191447,0.670459395480564,-1.750858055282929
P23,1.2705429472548082,-0.01481382687672475,1.1484069892292585,-1.08511898352234,1.2174509955458286,-0.2209721091070224
P24,0.5758572636954498,0.23928131753948362,0.7819087507801352,-1.705052876532875,1.2978959476190652,-0.5892068580660376
P26,1.1214629186460134,-0.05089016803528427,0.6922411115412226,0.383425639680245,0.43463572191234634,0.16393580416629627
P27,0.8242085285943539,-0.2530488549348125,0.7467758339762238,0.343333326239753,0.30738538806498544,-0.08653060279929942
P28,0.7145836783030602,0.0078586336966332,0.608572999587028,0.30571970487573263,-0.01161446957025758,0.11745778880822476
P30,0.15648064175281753,0.14643063759120958,0.7672158066367943,0.5529317194890455,0.5630248932332801,-0.3335565562065469
P4,0.7627539869787396,-0.109711969551605,0.9254717166016432,-0.0918026418687577,0.4413574932096882,-0.1054933020343825
P5,0.057617605296509944,0.21077208320263335,0.8064659323114469,0.7107069527167871,-0.0014239524459634,0.0415707737631301
P6,0.30223679176711093,0.5023121973114609,0.6262030468362164,-1.6720607441568158,1.2700713416832097,-0.9132738469104436
P7,0.6458284436886111,-0.02902862241156747,0.4961919844124856,-1.666573300825958,1.177053927501894,-0.7476493379409483
P8,0.30126821851086316,-0.11100455917800173,0.7777174579336044,-1.2509789012313637,1.0818467625987136,-0.1234897494326628
