,malignant_class1,malignant_class2,Tcell,Myeloid,Bcell,Endo,Fibroblast
A2M-AS1,4.6880268130844,3.7204924395237637,26.757891789374128,2.0011586928237284,5.148822276596236,4.061657795025815,3.4171096440102646
ABLIM3,20.32222626961583,6.820163810501236,1.0542518290157699,15.480358844768272,5.407297453827698,245.99243087301437,11.6185410412733
ACAN,0.6819281965743041,9.742680526378551,0.16786826108126868,0.13529660276941102,0.20100856354821078,0.05101695583670462,1.2505744429844294
ACSL6,1.2739505607893211,1.4694493707391565,12.689403476791458,0.3402754196326932,0.7513993820446505,0.8516334813671534,0.7553394931554357
ACTR6,24.61594499142804,17.011386948029873,33.46458664223389,14.963087505880365,20.082677478857647,28.344128731541414,99.76561492905468
ACVR1B,47.49385152297689,23.308173695201955,2.3606316991980556,17.962796982608452,5.738984088023434,13.19865851045141,19.61074841626709
ACVRL1,184.01286914513784,59.706388235694625,1.6157059334512378,13.90081359466201,6.267710977443214,110.55821406361635,63.61370746673898
ADAMDEC1,2.53556789875346,0.12689460815496872,0.35367151095921046,21.869470943415998,0.37120479128020784,0.7457114136376365,2.252808528003139
ADAMTS18,2.098168853385511,1.7822064014985013,0.11185006163027225,0.6950925013250477,0.3803976824059786,61.042251183860955,6.274389361901131
ADGRB3,0.7973442355123808,8.156778060629872,0.06778724974886313,0.10988532518901785,0.20869924361563713,0.6912353843452398,0.3776869327349811
ADGRD2,0.398935433859911,5.573267448448056,0.12394972384443578,0.0831863094856851,0.04984945464696616,0.021071046342647917,0.002160566902334391
ADGRF5,38.05962668384366,14.446452873465038,2.053250327340367,4.744272764298345,9.837559363547113,446.6051967461389,30.98941211763967
ADGRL4,49.587477350376396,15.725927252959671,1.7213956081986568,4.584682170815895,4.023074728115901,529.7965349897125,29.124681101076046
ADH1B,258.83870880494493,189.62089817571353,8.523455358894413,34.164832492212376,43.88446125052244,50.90356828223619,439.4123705499434
AGT,12.31105259242778,165.0914547118206,1.1622415141959523,1.2323310013354565,2.17323716871673,2.133534626110492,23.409811932530555
ALOX15,7.429139566740398,0.07520750518007101,0.060126513298545695,0.2812665861532424,2.7219531136448563,0.18852603430177567,0.7506725392327158
ALOX15B,2.804376788918503,0.3223948801966929,0.12150176151556008,17.500157013518468,0.6278180271557194,1.1285634278621417,1.2855919692422655
AMH,1.0541777852025591,13.459242689295133,0.17790052200950976,0.26234835075952834,0.24506661917550615,0.3774094921191367,1.155324941505927
AMN,1.4916741259592263,0.7240988379654908,1.1378546593115881,0.46334653836332407,13.03877619276136,2.2731917686648493,1.0034289625003714
AMN1,8.880902075639579,7.21059580882321,7.866894374898421,5.945242657961469,12.12889594989316,12.436511852429472,35.0572582796413
ANGPT1,7.16226901529965,28.38120402736437,1.4980370509518461,3.0938985544683355,5.085662018575812,9.206428740887683,69.7481155539684
ANGPTL7,33.975875846762975,2.5552930778536016,0.032494286128385876,0.008069195368666543,3.060796701828951,0.09038764458746583,2.89315678549091
