N_train,bacc_eff0.6,bacc_eff1.0,bacc_eff1.5,sd_0.6,sd_1.0,sd_1.5
20,0.391,0.472,0.618,0.031,0.044,0.078
25,0.407,0.508,0.727,0.034,0.049,0.066
40,0.453,0.62,0.862,0.036,0.064,0.062
67,0.529,0.823,0.971,0.047,0.052,0.024
100,0.644,0.926,0.997,0.039,0.034,0.005
150,0.791,0.99,1.0,0.047,0.009,0.0
