symbol,baseMean,log2 Fold Change,lfcSE,pvalue,padj
PDCD1,235.14564500794,0.828837837644481,0.142089512890415,5.43713645583742e-09,9.30946503968482e-05
CXCL9,15474.3362256162,0.783327728967146,0.141887241803143,3.37505134050355e-08,0.000288938145260509
PRF1,812.558625610879,0.714886996523718,0.14154501860491,4.40428941370976e-07,0.00251367477805128
CXCR6,658.806024518717,0.673816693466647,0.141644766853984,1.96405065137151e-06,0.00480406789325471
GBP5,6468.11802045986,0.682045502756209,0.142421057500642,1.67666923068094e-06,0.00480406789325471
GZMH,342.003206524791,0.692120806619174,0.144786438102087,1.75044653402745e-06,0.00480406789325471
LAG3,536.43939265496,0.692855271671001,0.143095578718455,1.2859991413338e-06,0.00480406789325471
IL32,4179.75070659221,0.638792455436079,0.136680847434409,2.95956562962104e-06,0.00633421033879642
CCL4,1299.31846880138,0.619497381040285,0.13568496274632,4.97820737281336e-06,0.00947076295970114
IRF1,3990.82097695923,0.555459490247763,0.123461287716295,6.82552455396787e-06,0.0116866631413038
NYAP1,34.517595807911,-0.619954349793978,0.139161235909037,8.39183645789086e-06,0.0119737519860006
PSTPIP2,1017.98692725721,0.531307598397946,0.119153461947925,8.23354694604333e-06,0.0119737519860006
GBP1,8704.77757345154,0.583780861807601,0.132252072888041,1.01406304968682e-05,0.0128668834450999
CD8B,540.607268583906,0.629300137582802,0.1428220251282,1.05207550654946e-05,0.0128668834450999
GZMA,987.986333942062,0.630458563681233,0.143621326587666,1.13492510964631e-05,0.0129547918182428
GBP2,8138.88160081672,0.559162653927407,0.128078484610318,1.26669165828737e-05,0.0134441116116141
IFNG,128.429503431005,0.642550663788491,0.1483990062358,1.49187081310985e-05,0.0134441116116141
SIRPG,334.231153145384,0.616224817582182,0.142008679729098,1.4290727326518e-05,0.0134441116116141
ACOD1,31.8932144127239,0.637057755711539,0.146690331305948,1.40630230382257e-05,0.0134441116116141
ASCL2,52.5689782751569,0.576896234771008,0.134098098944553,1.69227912336949e-05,0.0144876015751662
TOX2,141.81692364803,0.543347271707516,0.128796374322708,2.45765657374498e-05,0.0200380932646008
ZAP70,530.423708764832,0.577165146389321,0.138538576802804,3.09858928742746e-05,0.02338721833026
CA11,292.564154728355,0.408556889421186,0.0981411707587173,3.14160741499814e-05,0.02338721833026
IDO1,1763.31070543649,0.598045834876061,0.144183815776037,3.35683373153613e-05,0.0233920044192367
CD7,297.022027069347,0.599117806364317,0.144580596980043,3.4154894900182e-05,0.0233920044192367
FASLG,197.309906132208,0.584420212787129,0.141501512910825,3.62551817015459e-05,0.0238754315805334
ANKRD22,911.856013209393,0.597102600733289,0.145827149017718,4.22913424812886e-05,0.0241370788654875
JAKMIP1,87.7784768802345,0.595907239353031,0.145329973345801,4.12483031280936e-05,0.0241370788654875
TNFRSF9,599.009666190511,0.582025397403772,0.141454171199995,3.8787439677212e-05,0.0241370788654875
NKG7,1057.84114678889,0.589735251057719,0.143763206609992,4.09365524789549e-05,0.0241370788654875
GAP43,107.568937447903,-0.607006313466443,0.148584624306234,4.40281374509496e-05,0.0243177344979084
GCH1,1227.07138433217,0.504696984949442,0.124175305528795,4.8158052951718e-05,0.0246422973971126
TMPRSS3,70.2911413623132,0.600379290337659,0.1478525046978,4.89334255053047e-05,0.0246422973971126
CD8A,1846.29311450074,0.580014977257691,0.142688756117453,4.80538511397823e-05,0.0246422973971126
HLA-L,655.934130786488,0.435653139584502,0.107630977197682,5.17331658814755e-05,0.0253078647492178
BATF,276.841388860293,0.503356615572733,0.12547346192497,6.02938070000828e-05,0.0279983638437544
TNFAIP3,5555.62961846833,0.408801158010624,0.102084459101623,6.21386418679282e-05,0.0279983638437544
CD247,501.535913992401,0.55295662987215,0.137980594194296,6.13659936560181e-05,0.0279983638437544
CD274,1200.12593850731,0.516811179439095,0.129734466378697,6.78769761936207e-05,0.0290547396596793
GZMB,616.505060556366,0.577715050498557,0.14484760239167,6.65110014086807e-05,0.0290547396596793
IRAK2,780.060810920583,0.437972769843555,0.110194144278551,7.05107447379077e-05,0.029445974912255
LILRB1,1134.74712476846,0.518302052210156,0.130718467093796,7.33881086691029e-05,0.0299178856341043
CCL4L1,1201.63558586658,0.541462534013342,0.137039436580767,7.77785375472633e-05,0.030970328369401
IL18BP,1133.69283809321,0.476775247895369,0.122103537621067,9.43501246296116e-05,0.0319928306616869
CYFIP2,2364.06890801815,0.407646865675092,0.104624883585047,9.76852142651471e-05,0.0319928306616869
GPR171,228.977165966869,0.55867196765229,0.142320783381098,8.65706608613231e-05,0.0319928306616869
GPR132,276.411210564357,0.494986366897297,0.126488439562541,9.10458256817289e-05,0.0319928306616869
HLA-F,4765.94273580631,0.463187672405488,0.11837571906093,9.12092386023297e-05,0.0319928306616869
LCK,962.67011163525,0.559859119454506,0.142619962648014,8.65385358134938e-05,0.0319928306616869
MIAT,770.15000003869,0.513049504827255,0.131477800408932,9.53318355372151e-05,0.0319928306616869
TGM2,4382.14402233461,0.436552630155714,0.111245999362428,8.70149152562277e-05,0.0319928306616869
CST7,1300.32116449935,0.557614992650507,0.143237049687048,9.90316566446329e-05,0.0319928306616869
CD2,1532.9848839932,0.536780733732543,0.137590748592213,9.56833917256065e-05,0.0319928306616869
GBP1P1,329.70352013866,0.550839743173695,0.141870798931728,0.000103309002287038,0.0327566062436791
RASGRP1,683.969771205184,0.491048972927765,0.127018876784318,0.000110656372768486,0.0327729745488031
ICOS,320.740441749904,0.55057548051851,0.142445761228763,0.000111016967867689,0.0327729745488031
CD3D,694.347098047123,0.552711698463931,0.142597522623748,0.000106176364405094,0.0327729745488031
CD3E,1299.27012071898,0.534917911856039,0.138153923638742,0.000107991109242195,0.0327729745488031
PIK3AP1,5839.49495081674,0.456467423865986,0.118815319832592,0.000122123911536455,0.0348500935554531
IL2RG,3405.66417925919,0.505819129015125,0.131610657577251,0.00012139134836687,0.0348500935554531
SLC27A2,574.663875800342,0.565115484190759,0.14800206461535,0.000134377399015626,0.0366369021664528
CCR5,1356.01013526412,0.501942444959968,0.131886615426238,0.000141310352534509,0.0366369021664528
TMEM155,32.2128537714132,0.565599389398178,0.148752225957839,0.000143363651743507,0.0366369021664528
ITGAL,2158.72022217375,0.506554015099996,0.133186271720896,0.000142752407620595,0.0366369021664528
ETV7,270.516293895446,0.526893518198173,0.138119523027526,0.000136312605841922,0.0366369021664528
CCL5,3254.34452514317,0.537878478856523,0.141425849546615,0.000142807591772672,0.0366369021664528
TAP1,6895.49720968508,0.445251647571682,0.116455263404487,0.000131639611833556,0.0366369021664528
SLC2A6,290.221375114081,0.454451329577452,0.119893748864418,0.000150374252637546,0.0373581727241458
RARRES3,1758.06055920725,0.527683606049501,0.139224597270477,0.000150549814155242,0.0373581727241458
TIGIT,775.826378200796,0.5408027532488,0.143314529575141,0.000160949006637019,0.0377502587895759
HSD11B1,909.686403393992,0.551909730938592,0.1461338591892,0.00015889383789105,0.0377502587895759
SLAMF7,3468.67354496021,0.534804046297173,0.141338300927642,0.000154416008611123,0.0377502587895759
SOD2,28126.7060189192,0.446448109913758,0.118192422104038,0.000158538402442613,0.0377502587895759
IL2RB,1359.77039354078,0.495430268228245,0.131498007116271,0.000164832672140288,0.0380610365170097
CXCL10,4837.09665311506,0.534552361467938,0.14211402651449,0.000168942808976331,0.0380610365170097
SQRDL,2862.00512243766,0.456746828236061,0.121366251686407,0.000167634924265029,0.0380610365170097
SLAMF6,704.68753578825,0.511607674950639,0.136140239822673,0.000171313812325919,0.0380939622681088
IKZF3,1861.22292168805,0.515155999612331,0.137805647618906,0.000185284045197359,0.0402133359822172
FCRL6,135.977713692528,0.535406991873064,0.143236259410146,0.000185542199660972,0.0402133359822172
GZMK,985.150810366361,0.531919358017107,0.142751691394457,0.000194398954232272,0.0410925789427773
STAT3,10652.7835075144,0.215131322353781,0.0577027222168155,0.000192798833177304,0.0410925789427773
TMEM176B,5343.6610114389,0.487060950366088,0.130955197058241,0.000199779973316724,0.0417150329649871
LY75,524.908264214297,0.471373282199484,0.127026299802679,0.000206579017689678,0.0425163176786798
EOMES,629.404244259368,0.453972810382908,0.122417863791055,0.000208583733501291,0.0425163176786798
FCRL3,344.502378530785,0.531867104377108,0.14362977558394,0.00021302952167105,0.0429116643535496
DTHD1,81.8752177618978,0.535949737846866,0.144962507392571,0.000218024024595499,0.0429671669024553
ABCB1,778.023457032882,0.451229860872855,0.122059189189287,0.000218323999562762,0.0429671669024553
SECTM1,1023.28010867723,0.499482636192915,0.135523395121132,0.000228180263280656,0.0443966189533113
CTLA4,427.797745800868,0.52114644930768,0.141842214513239,0.000238663092601762,0.0449990421456732
SPATA13,3591.70460668813,0.252560071141473,0.068670045322985,0.000235182096130824,0.0449990421456732
IL12RB1,414.707333021145,0.475092758046282,0.129334883166672,0.00023938785917978,0.0449990421456732
SMCO4,589.894467976116,0.440764980359192,0.120073156336528,0.000241789036175793,0.0449990421456732
GBP4,6368.50189135932,0.473203061190548,0.129073183700895,0.000246219026497277,0.0453307760396384
LILRA3,361.137197164368,0.535367850348954,0.147745068661652,0.000290539781524363,0.0526071418706872
IL21R,316.877171380609,0.493695744137989,0.136593288090907,0.000301103837362887,0.0526071418706872
SLC6A12,258.087217878034,0.487137502416054,0.134759106406761,0.000300491043035448,0.0526071418706872
ZC3H12A,1050.05496322393,0.367812265378098,0.101648100902569,0.000296331128753939,0.0526071418706872
CD6,615.079208484772,0.481922525319297,0.133260025293993,0.000298720250800099,0.0526071418706872
CD3G,298.448937004071,0.523396905544209,0.144965396250367,0.000305612647244616,0.0528555529911344
SERPINA1,63505.283020794,0.527550624257337,0.146470009487153,0.000316063429846791,0.0541163804583676
SH2D1A,495.205960017954,0.503278276045493,0.140503474965438,0.000341021846141088,0.0572448632316442
SKAP1,426.219648177213,0.513885769696541,0.143434848268875,0.000340045286865349,0.0572448632316442
FCGR1A,1902.24471715728,0.484872951093046,0.136410561877136,0.000378681526380846,0.0582491906178836
HLA-H,1883.71771992205,0.43407133278556,0.121851305505389,0.000367615038510495,0.0582491906178836
BIRC3,3602.03442535187,0.445896036335404,0.125409338748397,0.000377225103416474,0.0582491906178836
FAM26F,874.074141186393,0.471336085163192,0.132149914110796,0.000361536375879711,0.0582491906178836
SLAMF8,1622.53709706373,0.475786029305908,0.133241048159361,0.000355801871964041,0.0582491906178836
BCL6,4390.01944019552,0.285216490843038,0.0802773397163625,0.000381024959070375,0.0582491906178836
TAPBP,6937.38919064317,0.314445074682835,0.0884982967470266,0.000380690656464019,0.0582491906178836
TNIP3,137.25144368913,0.51275939451925,0.144168401340916,0.000375585799454717,0.0582491906178836
AKAP5,343.950525566382,0.444865356302066,0.124483811040803,0.000351998526148437,0.0582491906178836
CD72,661.974116552318,0.474164583436492,0.132898977612039,0.000359912454880279,0.0582491906178836
TNFRSF1B,7008.96664090676,0.432986365809082,0.122298073203695,0.000399492938609076,0.0605320185386248
RPL7,76200.3976249228,-0.261857100374143,0.0741216960146046,0.000411183981515217,0.0617569485219609
THEMIS,310.700058722182,0.49269646771884,0.139805947051426,0.000424851246808921,0.0632548091118465
HS3ST3B1,84.8796948991781,0.513922793538326,0.146063735184054,0.000434021349766284,0.0640630478508476
BCL11B,437.008281688019,0.483615108846844,0.137658894753809,0.000442842384610489,0.0648063872589811
CTNND2,60.4897235254388,0.518320503914505,0.148039688466169,0.000463121779005277,0.0660797591677363
RILPL2,1330.07467476126,0.357619899956547,0.102080314376679,0.000459498900640104,0.0660797591677363
IL2RA,606.473319808688,0.486286431384143,0.1387443920443,0.000456763836540857,0.0660797591677363
SLC9A3R1,1551.41074040011,0.304135303242635,0.0871414134227775,0.000482776468870653,0.0683148652892836
TMEM176A,2586.49486313326,0.474455793019712,0.136294635775729,0.000499351681834021,0.0700811434128041
RIPK3,350.71648518715,0.446994254627958,0.128724058174217,0.000515635570077435,0.0711992921844019
CP,6767.09684816329,0.514117968342436,0.147995165734213,0.000512983658244864,0.0711992921844019
NCAM1,884.294040874527,-0.470971323070549,0.135772802396981,0.000522750846125407,0.0716043198988737
HLA-B,99392.6464404189,0.439723294048137,0.127071660523934,0.000539302273559948,0.0730487660929561
HLA-DRB6,2564.61437916903,0.436121554912417,0.126076683108779,0.000541828833886545,0.0730487660929561
PLA2G2D,1455.78074855897,0.513664071809599,0.148640707575333,0.000548778463657414,0.0734076941776737
HLA-E,53806.946111557,0.369728078659142,0.107095014518191,0.00055575319015311,0.0737643885410972
EBI3,157.784964452703,0.465256312779146,0.135124086355363,0.000574920282265885,0.0757214236381268
EZR,6331.19296020174,0.238005619124809,0.0692672468291539,0.000590265308322885,0.0765645652204882
APOL1,3911.88970162985,0.454211069262282,0.132118171635637,0.000586211267491732,0.0765645652204882
ADGRE2,2188.77757749174,0.357806795557942,0.104358649252696,0.000606644496209231,0.0780974967225147
GRIN3A,149.065472748579,0.449053021476913,0.131656654627714,0.000647752837191501,0.0790098375486195
DTX3L,5056.80415780324,0.348046764917589,0.101998058081285,0.000644199778613129,0.0790098375486195
FCGR1B,1435.04889197075,0.462799833506489,0.135363342190061,0.000628644121323736,0.0790098375486195
KIAA1024,733.129060734841,-0.451198385756661,0.131819983365004,0.000619711066219193,0.0790098375486195
GADD45B,4709.16389020957,0.333921093554114,0.0978352401553857,0.000642292477433075,0.0790098375486195
CRTAM,209.004805074107,0.478243344262234,0.139988861391233,0.000634792772312081,0.0790098375486195
PSMB9,2385.92532184633,0.444362799453404,0.130310631989292,0.000649564010610994,0.0790098375486195
NIFK,1672.28072075581,-0.225736097604144,0.0662065669004837,0.000650647535004985,0.0790098375486195
DBH,87.9996496500949,0.507027675187943,0.14880571821635,0.000656058187513818,0.079105833004307
HLA-C,34695.6599049998,0.403798061544914,0.118631654100753,0.000664561362926399,0.0795707668253553
SIGLEC11,130.356554510469,0.464268596755364,0.136492944511349,0.000670389647853751,0.0797111913232772
CBX1,3368.4644573761,-0.12638411839228,0.0372489955752765,0.000691433170346747,0.0806575672819461
TRAM1L1,156.977519719477,-0.412135130398174,0.121482804114622,0.000692481158185146,0.0806575672819461
TOX,422.20414017182,0.459295693431549,0.135238804161347,0.000683327205251612,0.0806575672819461
FAM179A,43.2048920182336,0.48007950935955,0.142142439894038,0.000731602687891692,0.0824010164656625
GYPE,52.751108594091,-0.466610171537784,0.138223566648106,0.00073610971308323,0.0824010164656625
UBASH3A,177.517507221867,0.481833934177813,0.142600594172225,0.000727750150712588,0.0824010164656625
CCL8,525.624982163724,0.485530788843087,0.143598830444195,0.000721801934535043,0.0824010164656625
IGFLR1,587.988285015566,0.391325766053941,0.115630197578627,0.000713633842623045,0.0824010164656625
NLRC5,2503.4592838652,0.387809123852776,0.114883131207764,0.000736324933959021,0.0824010164656625
POPDC3,348.401949508819,-0.452933672864985,0.134323589410976,0.000746354842840717,0.0829810884358361
PTPN22,750.372546328288,0.433582782690658,0.128712427426283,0.000755465141293774,0.0830243616155682
RAB37,346.882013721525,0.462641659381059,0.137353306726313,0.000756442028503016,0.0830243616155682
RNF144B,2027.1537275659,0.228428615054537,0.0679014246249342,0.000767878426881129,0.0832127495256879
WASF1,497.776028618049,-0.272940840359921,0.0810934043270142,0.000763334197646245,0.0832127495256879
TLR8,1153.79902568136,0.47620946100085,0.141674751723809,0.000775802472206505,0.0835427039567282
GADD45G,109.707894783129,0.470351894540321,0.140295870696247,0.000800646470058328,0.0851581104230262
SIT1,296.485850835912,0.484404298414824,0.144562880949244,0.000805724441568172,0.0851581104230262
GPR68,300.702630253677,0.450679295270753,0.134445102919672,0.000801884053370336,0.0851581104230262
FCGR1CP,1216.50649780368,0.451685179164244,0.135442840740515,0.000853372166635386,0.0863010314145209
CD96,689.283779347782,0.462249266077778,0.138527179840954,0.000847230015057029,0.0863010314145209
GJD3,227.746258455026,0.360856577429437,0.107920737039695,0.000826635349748543,0.0863010314145209
CD300LF,476.085536990907,0.446790523145558,0.134038325210891,0.000858210286594784,0.0863010314145209
2016-09-01 00:00:00,570.989999877095,0.432802456954413,0.12981421038481,0.000856022017774098,0.0863010314145209
ITK,711.979706075474,0.459432715497635,0.137360874657182,0.000823677289865372,0.0863010314145209
CIITA,1220.05113347522,0.440095721680008,0.132077184006746,0.000861901435105891,0.0863010314145209
ALPK1,1491.97299961269,0.223967750082136,0.0670633852579591,0.000838862181386881,0.0863010314145209
APOL3,2157.39153637715,0.450594286142324,0.134978668424658,0.000843039325825297,0.0863010314145209
RASGEF1B,678.200942764461,0.383912692158941,0.115342777886645,0.000873306166095289,0.0869345824179276
PLEK,36381.4817388859,0.430381013856501,0.129387965300336,0.000880124602649844,0.0871068985350904
SPOCK2,1480.74987629415,0.420440408133872,0.126536755700717,0.000891589955208372,0.0877345012245848
CD80,166.220018023273,0.446449416006358,0.135010920087625,0.000943799558435557,0.0923413487973349
CLEC4E,662.956531432753,0.480962684490209,0.145577122986226,0.000953722026224493,0.092781980301226
HOXA2,33.6361788348647,-0.455578558380835,0.138117351256477,0.000972067022627711,0.0940323817030037
MFSD6,2056.72379725479,0.280344245426643,0.0850831293491124,0.000984408880404713,0.0942833827457201
FADS2,2110.70190126515,0.286003465164842,0.0868101913495989,0.000985674892622585,0.0942833827457201
HOXD4,118.842651444571,-0.33653753981089,0.102302295596821,0.00100316279077401,0.0951690511330216
MPP4,82.9012805348359,-0.484201528531291,0.14729557940197,0.00101160888367071,0.0951690511330216
CD5,436.00320288299,0.463034562411725,0.140830736215869,0.00100944852881767,0.0951690511330216
PIR,693.838162407683,-0.389905695855065,0.118735618890012,0.00102412463013672,0.0958200104765079
PSD4,1447.01574018805,0.413520637331354,0.1260008477478,0.00103114648394998,0.0959526635771276
PTPRC,15330.983111712,0.425124802151665,0.129846842815956,0.00106018582967105,0.0981216312196092
HLA-DQA2,3627.21803432834,0.439760625823933,0.134536558737085,0.00108040019023448,0.0994549035333048
KLHDC7B,105.673807685157,0.460354310360332,0.141032339150743,0.00109783128356607,0.0996082059332097
RAC2,4117.88134752846,0.42827123778803,0.131126196378926,0.00109039830540922,0.0996082059332097
PDCD1LG2,582.8924608248,0.440676409835806,0.135045856866101,0.00110176804102841,0.0996082059332097
SIGLEC10,612.390649785013,0.448827739063266,0.137582475360309,0.00110533577428512,0.0996082059332097
SLA2,288.926638042809,0.472116459408637,0.144809007749146,0.00111306212527804,0.099779317848223
LYN,9618.4491360629,0.325100196829203,0.100001569642981,0.00115019703666535,0.102571216988459
CD74,108377.157696354,0.424027027808301,0.130611917177999,0.00116847782842969,0.103661540820586
FLOT2,3488.30741338939,0.167424962480174,0.0516562253749993,0.00119053474672449,0.105073896564004
ZNF831,239.166118722945,0.456929450141336,0.141232300774594,0.00121513211929586,0.106150470135631
SAMSN1,3104.47640734551,0.41047975441303,0.126851563050117,0.00121257239754546,0.106150470135631
CCL3,2054.80995075541,0.438275829171361,0.135571158886864,0.00122578961498983,0.106537917704852
SPN,1037.30082059674,0.420818009345861,0.130315401451016,0.00124125339049895,0.107337073495571
GBP3,1384.23676736874,0.386544512249201,0.119888247773391,0.00126322108504474,0.108334907484981
NCR1,29.8455360821564,0.47478785807659,0.147280285195937,0.00126544688103003,0.108334907484981
SNX20,458.589759955934,0.417823878420986,0.129745641281351,0.00128042774258552,0.108532098062125
TPTE2P1,95.4580752216563,-0.426737954605027,0.132486660586335,0.00127749460963576,0.108532098062125
PIAS3,1250.26617940556,-0.180182195005318,0.0560910751632603,0.00131669977591666,0.111056815582488
CHI3L1,4320.52517053063,0.472198915621531,0.147158056768128,0.0013329602392514,0.11187718243364
NLRC3,580.787251036583,0.40096640079111,0.125237209590563,0.00136640303914534,0.11412464798169
GSTM3,1976.11539749035,-0.303409488168005,0.0948348607419935,0.00137739975568672,0.114484653479942
C4B_2,20443.0005163063,0.446347946354519,0.139732783715946,0.00140172055783371,0.115243898321106
TAPBPL,1027.01306008286,0.34566633860509,0.108248482676647,0.00140672671119677,0.115243898321106
C2,1769.31084329431,0.419395980605626,0.131322722256818,0.00140496822144521,0.115243898321106
GK,4555.0860330665,0.306104798640762,0.0959921440246983,0.00142838688259287,0.116461143827406
ADAMDEC1,2133.29670401716,0.461865581709978,0.145140372713111,0.00146161239849155,0.118424176977633
ZC3H12D,249.584057190176,0.414929928491115,0.130428917112251,0.00146629631580763,0.118424176977633
UTP15,976.799657659825,-0.199212007883451,0.062775248643959,0.00150656246297647,0.121104988221047
LOC100499489,75.5647170957659,0.351684315884757,0.110978054295823,0.00152988763686521,0.12185320978392
GNLY,314.013397680723,0.458900884641588,0.144813360864346,0.00153010396586513,0.12185320978392
SUSD6,4570.80028781627,0.261877062122905,0.082690747329468,0.00154049365575885,0.122112649879181
MSTO2P,900.216784056413,-0.224062522577115,0.0708670000673891,0.00156833370171912,0.123553758644656
CXCL13,2190.8886503996,0.468632957421057,0.148529776383903,0.00160418445828582,0.123553758644656
HCP5,1854.95021698742,0.403246859513721,0.127748832290407,0.00159642016267111,0.123553758644656
HLA-DOA,3386.85900369944,0.409734721784589,0.12989981066725,0.00160918632039238,0.123553758644656
HCG26,145.043389009506,0.433039937321525,0.137116956952327,0.00158757871421101,0.123553758644656
