symbol,baseMean,log2 Fold Change,lfcSE,pvalue,padj
MLC1,78.3986921169238,1.41644651777036,0.271816835425476,1.87791972814487e-07,0.00197860155273588
UBAP1L,105.485000921012,1.28203105788838,0.250956153724908,3.24578908202505e-07,0.00197860155273588
PCDH11X,33.2144227190511,1.30083005767336,0.259848403936523,5.55406206510877e-07,0.00390046608895247
CLEC17A,31.999926904742,1.30789509474814,0.269308646699901,1.19484039701278e-06,0.00390046608895247
P2RX5,98.5015262998087,1.28644510669474,0.26774296021925,1.54924399112642e-06,0.00390046608895247
LRMP,708.742405659737,1.16121748759406,0.250474702784671,3.55101020057776e-06,0.00583301724721727
C4BPA,28.8587907335522,1.35840564570375,0.267185105957689,3.69301588642853e-07,0.00635486890357637
ARSI,436.964684860618,-1.12060219110511,0.260439109701964,1.6869755745795e-05,0.0206717441584518
NELL2,456.580895776404,1.04697043682962,0.243071285934859,1.65291710794704e-05,0.0223911609348407
CXCL13,1352.4214756209,1.20087558303783,0.272412841136176,1.04188599913041e-05,0.0246824533388924
TNR,12.5087964019308,1.1337372835498,0.266946155318737,2.1659054860113e-05,0.0292320304988147
FAM189A2,698.715931030225,-1.06085806719804,0.247510288361618,1.81823211170147e-05,0.0292320304988147
FAM159A,38.4506461572805,1.09767250712957,0.270337829138014,4.89943158177195e-05,0.0305794067241684
GPR88,22.6779426249261,1.24052815373759,0.271283135773896,4.81210241505511e-06,0.0305794067241684
CXCR5,63.6201048486325,1.08798589925693,0.27237043876586,6.48287299685753e-05,0.0305794067241684
LINC00643,20.0217454935138,1.15430877879788,0.252266498283348,4.74513791940354e-06,0.0305794067241684
SLC9A3,762.742316896317,-1.10140042388312,0.269415460629317,4.34899256470677e-05,0.0305794067241684
BACH2,385.102687609799,0.93165376592856,0.230532744239864,5.31539475725972e-05,0.0360023678349586
CCL24,53.6545651911902,1.0626157074395,0.271987531339853,9.35054248751344e-05,0.0482438013753616
FLCN,1381.75155077731,-0.438130097723701,0.10853842226205,5.42231089315821e-05,0.0500689455934149
ELFN1,380.653465737608,-0.991588824408332,0.263274323143495,0.000165637482046369,0.0500689455934149
GPR174,148.123258970452,1.02412773498512,0.272451953310956,0.000170641782278156,0.0500689455934149
NUGGC,77.1916362290263,1.06280077272408,0.27241372932281,9.56294845937015e-05,0.0506911361480302
LINC01024,95.2025160773255,-0.567856860695738,0.149354731948674,0.0001434932751368,0.0514052007620909
NLRC3,430.203379606954,0.89929580278877,0.238388496954996,0.00016168739437657,0.0514052007620909
LRRC55,39.6072329677259,1.01232256663652,0.272495411556878,0.000203197464058191,0.0514052007620909
H1FX-AS1,77.3226491471083,-0.631196956718945,0.16312496168281,0.000109100145009139,0.0514052007620909
SAMD5,362.704058688683,0.972546250202356,0.253747558747076,0.000126728270797251,0.0514052007620909
PRDM8,126.195930976003,0.97916196031594,0.266395098473333,0.000237290592883645,0.0514052007620909
TAF4,1022.97745790196,0.510018865612128,0.134315050821349,0.000146349582829739,0.0514052007620909
CAMK2A,77.0836003780681,-0.967743510301339,0.254639299255682,0.000144434509113872,0.0514052007620909
KLHDC8A,70.0748110365836,1.02171124814052,0.271805623571324,0.000170609115958151,0.0522649534665856
FAM129C,47.4513359337636,0.980433219433003,0.269025715431578,0.0002680321886771,0.0524298675779265
GPC3,849.007509248254,0.971833251785194,0.25928770443782,0.000178187416908999,0.0533511299583458
POLA2,723.930585090752,0.359238011974357,0.0967822931508938,0.000205777997114126,0.0582506395702397
BMP6,166.794325286665,0.905158421966381,0.243876244622734,0.000205995480392985,0.0582506395702397
P2RY8,943.986319909672,0.90605052686801,0.246981496473909,0.000243981916325657,0.0646419170826269
MAP4K1,505.008257285105,0.856904896403131,0.234041286777391,0.000250898813286345,0.0672141200794457
DNASE1L3,377.552681771055,0.990839049591505,0.272431769974974,0.000275813455642775,0.0693858436731258
RHOH,397.829633520821,0.973997744121997,0.269234108609218,0.000297277369850796,0.0693858436731258
