,SPLICE_NEOANTIGEN,ERV_NEOANTIGEN,FUSION_NEOANTIGEN,INDEL_NEOANTIGEN,SNV_NEOANTIGEN
SPLICE_NEOANTIGEN,1.0,0.11545514574888466,-0.020046387677241782,0.020519690391072303,0.2733500242359153
ERV_NEOANTIGEN,0.11545514574888466,1.0,-0.030750666885955326,-0.07288047707259541,0.052447296095789506
FUSION_NEOANTIGEN,-0.020046387677241782,-0.030750666885955326,1.0,0.2817567064230827,0.31985637444858883
INDEL_NEOANTIGEN,0.020519690391072303,-0.07288047707259541,0.2817567064230827,1.0,0.20892542033211842
SNV_NEOANTIGEN,0.2733500242359153,0.052447296095789506,0.31985637444858883,0.20892542033211842,1.0
