,n,SPLICE_NEOANTIGEN,ERV_NEOANTIGEN,FUSION_NEOANTIGEN,INDEL_NEOANTIGEN,SNV_NEOANTIGEN,TMB_NONSYNONYMOUS,MUTATION_COUNT,PURITY,PLOIDY,MUTS_CLONAL,MUTS_SUBCLONAL,HETEROGENEITY,CNA_PROP,RESPONDER,RESPONSE,OS_MONTHS,PFS_MONTHS,TIDE_RESPONDER
dfci2019,144,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
gide2019,73,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
hugo2016,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9615384615384616,0.0,1.0
liu2019,122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
riaz2017,51,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.0,0.0,0.0,0.0,0.0,0.0,0.9607843137254902,0.9607843137254902,1.0,0.0,1.0
