feature,dauroc,lo,hi,n
Splice neoantigen (WES proxy),-0.020480225988700806,-0.0938494734432235,0.05499200082255284,190
Fusion neoantigen (WES proxy),-0.019067796610169663,-0.07853756410256421,0.03421875496031738,190
TE/ERV antigen (WES proxy),-0.010828625235404954,-0.03750929114581456,0.009617382271468113,190
SNV neoantigen (WES proxy),0.017655367231638408,-0.013445588942669022,0.05238409041398577,190
Indel neoantigen (WES proxy),-0.016242937853107375,-0.06940436692977572,0.038302645672911154,190
